ta_check,description
AWS Lambda Functions without a dead-letter queue configured,"Description: Checks if an AWS Lambda function is configured with a dead-letter queue.

A dead-letter queue is a feature of AWS Lambda that allows you to capture and analyze failed events, providing a way to handle those events accordingly. Your code might raise an exception, time out, or run out of memory, resulting in failed asynchronous executions of your Lambda function. A dead-letter queue stores messages from failed invocations, providing a way to handle the messages and troubleshoot the failures.
You can specify the DLQ resource you want to check, using the ""dlqArns"" parameter in your AWS Config rules.

Refer here for more information about AWS Lambda Dead-Letter Queue.

Source
AWS Config Managed Rule: lambda-dlq-check

Alert Criteria
Yellow: AWS Lambda Functions has no dead-letter queue configured.

Recommended Action
Make sure that your AWS Lambda functions have a dead-letter queue configured to control message handling for all failed asynchronous invocations.

For more information, see Dead-letter queues.

Additional Resources
Robust Serverless Application Design with AWS Lambda Dead Letter Queues"
Password policies for IAM users should have strong configurations,"Description: Checks if the account password policy for IAM users uses the following recommended configurations: RequireUppercaseCharacters: true, RequireLowercaseCharacters: true, RequireSymbols: true, RequireNumbers: true, MinimumPasswordLength: 8.

Source
AWS Security Hub
Security Hub control ID: IAM.7

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
A WAF Regional rule should have at least one condition,"Description: Checks if a WAF Regional rule has at least one condition. The check fails if no conditions are present within a rule.

Source
AWS Security Hub
Security Hub Control Id: WAF.2

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon OpenSearch Service domains with less than three data nodes,"Description: Checks if Amazon OpenSearch Service domains are configured with at least three data nodes and ZoneAwarenessEnabled is true. With ZoneAwarenessEnabled enabled, Amazon OpenSearch ensures that each primary shard and its corresponding replica are allocated in different Availability Zones.

For more information, see Configuring a multi-AZ domain in Amazon OpenSearch Service.

Source
AWS Config Managed Rule: opensearch-data-node-fault-tolerance

Alert Criteria
Yellow: Amazon OpenSearch Service domains are configured with less than three data nodes.

Recommended Action
Make sure that Amazon OpenSearch Service domains are configured with a minimum of three data nodes. Configure a multi-AZ domain to enhance the availability of the Amazon OpenSearch Service cluster by allocating nodes and replicating data across three Availability Zones (AZs) within the same Region. This prevents data loss and minimizes downtime in the event of node or data center (AZ) failure.

For more information, see  Increase availability for Amazon OpenSearch Service by deploying in three Availability Zones.
"
Savings Plan,"Description: Checks your usage of EC2, Fargate, and Lambda over the last 30 days and provides Savings Plan purchase recommendations, which allows you to commit to a consistent usage amount measured in $/hour for a one or three year term in exchange for discounted rates. These are sourced from AWS Cost Explorer which can be used to get more detailed recommendation information, or to purchase a savings plan. These recommendations should be considered an alternative to your RI recommendations and choosing to act fully on both sets of recommendations would likely lead to over commitment. This check is not available to accounts linked in Consolidated Billing. Recommendations are only available for the Paying Account. 

Alert Criteria
Yellow: Optimizing the purchase of Savings Plans can help reduce costs.

Recommended Action
See the Cost Explorer page for more detailed and customized recommendations and to purchase Savings Plans. 

Additional Resources
Savings Plan User Guide
Savings Plan FAQ"
Application Load Balancer should be configured with defensive or strictest desync mitigation mode,"Description: Checks if the Application Load Balancer is configured with defensive or strictest de-sync mitigation mode. This check fails if the Application Load Balancer is not configured with defensive or strictest desync mitigation mode.

Source
AWS Security Hub
Security Hub Control Id: ELB.12

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
IAM customer managed policies should not allow decryption actions on all KMS keys,"Description: Checks if the default version of IAM customer managed policies allow principals to use the AWS Key Management Service (KMS) decryption actions on all resources. This check fails if kms:Decrypt or kms:ReEncryptFrom actions are allowed on all KMS keys. The check evaluates both attached and unattached customer managed policies. It does not check inline policies or AWS managed policies.

Source
AWS Security Hub
Security Hub control ID: KMS.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Classic Load Balancer should be configured with defensive or strictest desync mitigation mode,"Description: Checks if the Classic Load Balancer is configured defensive or strictest desync mitigation mode. This check will fail if the Application Load Balancer is not configured with defensive strictest mitigation Desync mitigation mode.

Source
AWS Security Hub
Security Hub Control Id: ELB.14

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Route 53 Reusable Delegation Sets,"Description: Checks for usage that is more than 80% of the Route 53 Reusable Delegation Sets Limit per account. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
Route 53 Limits"
IAM principals should not have IAM inline policies that allow decryption actions on all KMS keys,"Description: Checks if the inline policies embedded in your IAM principals (Role/User/Group) allow the AWS Key Management Service (KMS) decryption actions on all KMS keys. This check fails if kms:Decrypt or kms:ReEncryptFrom actions are allowed on all KMS keys in an inline policy.

Source
AWS Security Hub
Security Hub control ID: KMS.2

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Kinesis streams should be encrypted at rest,"Description: Checks if Kinesis streams are encrypted at rest with server-side encryption. This check fails if a Kinesis stream is not encrypted at rest with server-side encryption.

Source
AWS Security Hub
Security Hub Control Id: Kinesis.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS KMS keys should not be deleted unintentionally,"Description: Checks whether AWS Key Management Service (KMS) keys are scheduled for deletion. The check fails if a KMS key is scheduled for deletion.

Source
AWS Security Hub
Security Hub control ID: KMS.3

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Network Firewall policies should have at least one rule group associated,"Description: Checks if a Network Firewall policy has any stateful or stateless rule groups associated. This check fails if stateless or stateful rule groups are not assigned.

Source
AWS Security Hub
Security Hub Control Id: NetworkFirewall.3

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS DB Security Groups,"Description: Checks for usage that is more than 80% of the RDS DB Security Groups Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
RDS Limits"
Amazon SQS queues should be encrypted at rest,"Description: Checks if Amazon SQS queues are encrypted at rest.

Source
AWS Security Hub
Security Hub control ID: SQS.1

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
The default stateless action for Network Firewall policies should be drop or forward for full packets,"Description: Checks if the default stateless action for full packets for a Network Firewall policy is drop or forward. The check passes if Drop or Forward is selected, and fails if Pass is selected.

Source
AWS Security Hub
Security Hub Control Id: NetworkFirewall.4

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
"IAM policies should not allow full ""*"" administrative privileges","Description: Checks if the default version of AWS Identity and Access Management (IAM) policies (also known as customer managed policies) do not have administrator access with a statement that has ""Effect"": ""Allow"" with ""Action"": ""*"" over ""Resource"": ""*"". It only assesses for the Customer Managed Policies that you created, but not inline and AWS Managed Policies.

Source
AWS Security Hub
Security Hub control ID: IAM.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
The default stateless action for Network Firewall policies should be drop or forward for fragmented packets,"Description: Checks if a Network Firewall policy has drop or forward as the default stateless action for fragmented packets. The check passes if Drop or Forward is selected, and fails if Pass is selected.

Source
AWS Security Hub
Security Hub Control Id: NetworkFirewall.5

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
IAM users should not have IAM policies attached,"Description: Checks that none of your IAM users have policies attached. Instead, IAM users must inherit permissions from IAM groups or roles.

Source
AWS Security Hub
Security Hub control ID: IAM.2

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
IAM users' access keys should be rotated every 90 days or less,"Description: Checks if the active access keys are rotated within 90 days.

Source
AWS Security Hub
Security Hub control ID: IAM.3

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS Elastic Beanstalk with Managed Platform Updates disabled,"Description: Checks if managed platform updates in AWS Elastic Beanstalk environments and configuration templates are enabled.

AWS Elastic Beanstalk regularly releases platform updates to provide fixes, software updates, and new features. With managed platform updates, Elastic Beanstalk can automatically perform platform updates for new patch and minor platform versions.
You can specify your desired update level in the ""UpdateLevel"" parameters of your AWS Config rules.

For more information, see  Updating your Elastic Beanstalk environment's platform version.

Source
AWS Config Managed Rule: elastic-beanstalk-managed-updates-enabled

Alert Criteria
Yellow: AWS Elastic Beanstalk managed platform updates is not enabled, or at minor/patch level.

Recommended Action
Enable managed platform updates in your AWS Elastic Beanstalk environments, or configure it for at a minor or patch update level.

For more information, see Managed platform updates.
"
Amazon ElastiCache Redis clusters Automatic Backup,"Description: Checks if the Amazon ElastiCache Redis clusters have automatic backup turned on. When automatic backups are enabled, ElastiCache creates a backup of the cluster on a daily basis.

For more information, see  Backup and restore for ElastiCache for Redis.

Source
AWS Config Managed Rule: elasticache-redis-cluster-automatic-backup-check

Alert Criteria
Red: Amazon ElastiCache Redis clusters do not have automatic backup turned on.

Recommended Action
Ensure Amazon ElastiCache Redis clusters have automatic backup turned on. Automatic backups can help guard against data loss. In the event of a failure, you can create a new cluster, restoring your data from the most recent backup. 

For more information, see Scheduling automatic backups.

Additional Resources
Restoring from a backup with optional cluster resizing"
Amazon ECS task Logging not enabled,"Description: Checks if log configuration is set on active Amazon ECS task definitions. Checking the log configuration in your ECS task definitions makes sure that logs generated by containers are properly configured and stored. This helps identify and troubleshoot issues more quickly, optimize performance, and meet compliance requirements.

By default, the logs that are captured show the command output that you typically see in an interactive terminal if you ran the container locally. The awslogs driver passes these logs from Docker to Amazon CloudWatch Logs.

For more information, see  Using awslogs log driver.

Source
AWS Config Managed Rule: ecs-task-definition-log-configuration

Alert Criteria
Yellow: Amazon ECS task definition does not have a logging configuration.

Recommended Action
Consider specifying the log driver configuration in container definition to send log information to CloudWatch Logs or a different logging driver.

For more information, see LogConfiguration.

Additional Resources
Example task definitions."
Amazon ECS Memory Hard Limit,"Description: Checks if Amazon ECS task definitions have a set memory limit for its container definitions. The total amount of memory reserved for all containers within a task must be lower than the task memory value.

For more information, see Container definitions.

Source
AWS Config Managed Rule: ecs-task-definition-memory-hard-limit

Alert Criteria
Yellow: Amazon ECS memory hard limit is not set.

Recommended Action
Allocate memory for your ECS taks to avoid running out of memory. If your container attempts to exceed the specified memory, then the container is terminated. For more information, see How can I allocate memory to tasks in Amazon ECS?.

Additional Resources
Cluster reservation"
Amazon ECS clusters with Container Insights disabled,"Description: Checks if Amazon CloudWatch Container Insights is turned on for your Amazon ECS clusters. CloudWatch Container Insights collects, aggregates, and summarizes metrics and logs from your containerized applications and microservices. The metrics include utilization for resources such as CPU, memory, disk, and network.

For more information, see  Amazon ECS CloudWatch Container Insights.

Source
AWS Config Managed Rule: ecs-container-insights-enabled

Alert Criteria
Yellow: Amazon ECS cluster does not have container insights enabled.

Recommended Action
Turn on CloudWatch Container Insights on your ECS clusters.

For more information, see  Using Container Insights.

Additional Resources
CloudWatch Container Insights for Amazon ECS"
AWS Fargate platform version is not latest,"Description: Checks if Amazon ECS is running the latest platform version of AWS Fargate. The Fargate platform version refers to a specific runtime environment for Fargate task infrastructure. It's a combination of the kernel and container runtime versions. New platform versions are released as runtime environment evolves. For example, if there are kernel or operating system updates, new features, bug fixes, or security updates.

For more information, see AWS Fargate task maintenance.

Source
AWS Config Managed Rule: ecs-fargate-latest-platform-version

Alert Criteria
Yellow: ECS is not running on the latest version of the Fargate platform.

Recommended Action
 Update to the latest Fargate platform version. For more information, see AWS Fargate task maintenance.

Additional Resources
AWS Fargate task maintenance"
S3 bucket server access logging should be enabled,"Description: Checks if an Amazon S3 Bucket has server access logging enabled to a chosen target bucket.

Source
AWS Security Hub
Security Hub Control Id: S3.9

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon S3 version-enabled buckets without lifecycle policies configured,"Description: Checks if Amazon S3 version-enabled buckets have a lifecycle policy configured.
You can specify the bucket names you would like to check, using the “bucketNames"" parameters in your AWS Config rules.

For more information, see Managing your storage lifecycle.

Source
AWS Config Managed Rule: s3-version-lifecycle-policy-check

Alert Criteria
Yellow: You have Amazon S3 version-enabled buckets without a lifecycle policy configured.

Recommended Action
Configure lifecycle policies for your S3 buckets to manage your objects so that they are stored cost effectively throughout their lifecycle.

For more information, see  Setting lifecycle configuration on a bucket.

Additional Resources
Managing your storage lifecycle
Setting lifecycle configuration on a bucket"
CloudTrail should have encryption at-rest enabled,"Description: Checks whether AWS CloudTrail is configured to use the server-side encryption (SSE) AWS Key Management Service (AWS KMS) key encryption. The check will pass if the KmsKeyId is defined.

Source
AWS Security Hub
Security Hub control ID: CloudTrail.2

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Stateless network firewall rule group should not be empty,"Description: Checks if a Stateless Network Firewall Rule Group contains rules. The rule will fail if there are no rules in a Stateless Network Firewall Rule Group.

Source
AWS Security Hub
Security Hub Control Id: NetworkFirewall.6

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon EC2 instances over-provisioned for Microsoft SQL Server,"Description: Checks your Amazon Elastic Compute Cloud (Amazon EC2) instances that are running SQL Server in the past 24 hours. An SQL Server database has a compute capacity limit for each instance. An instance with SQL Server Standard edition can use up to 48 vCPUs. An instance with SQL Server Web can use up to 32 vCPUs. This check alerts you if an instance exceeds this vCPU limit.If your instance is over-provisioned, you pay full price without realizing an improvement in performance. You can manage the number and size of your instances to help lower costs. Estimated monthly savings are calculated by using the same instance family with the maximum number of vCPUs that an SQL Server instance can use and the On-Demand pricing. Actual savings will vary if you’re using Reserved Instances (RI) or if the instance isn’t running for a full day.

Alert Criteria
Red: An instance with SQL Server Standard edition has more than 48 vCPUs.
Red: An instance with SQL Server Web edition has more than 32 vCPUs.

Recommended Action
For SQL Server Standard edition, consider changing to an instance in the same instance family with 48 vCPUs. For SQL Server Web edition, consider changing to an instance in the same instance family with 32 vCPUs. If it is memory intensive, consider changing to memory optimized R5 instances. For more information, see Best Practices for Deploying Microsoft SQL Server on Amazon EC2.

Additional Resources
Microsoft SQL Server on AWS
You can use Launch Wizard to simplify your SQL Server deployment on EC2.
"
CloudFront distributions should encrypt traffic to custom origins,"Description: Checks if CloudFront distributions are encrypting traffic to custom origins. This check fails for a CloudFront distribution whose origin protocol policy allows 'http-only' or if it is 'match-viewer' and the viewer protocol policy is 'allow-all'. 

Source
AWS Security Hub
Security Hub Control Id: CloudFront.9

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CloudTrail trails should be integrated with Amazon CloudWatch Logs,"Description: Checks if AWS CloudTrail trails are configured to send logs to Amazon CloudWatch Logs.

Source
AWS Security Hub
Security Hub control ID: CloudTrail.5

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CloudTrail log file validation should be enabled,"Description: Checks if CloudTrail log file validation is enabled.

Source
AWS Security Hub
Security Hub control ID: CloudTrail.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
VPC,"Description: Checks for usage that is more than 80% of the VPC Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

 Additional Resources
VPC Limits"
Amazon SageMaker notebook instances should not have direct internet access,"Description: Checks if direct internet access is disabled for an Amazon SageMaker notebook instance by examining the DirectInternetAccess field is disabled for an Amazon SageMaker notebook instance.

Source
AWS Security Hub
Security Hub control ID: SageMaker.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
OpenSearch domains should have audit logging enabled,"Description: Checks if Amazon OpenSearch Service domains have audit logging enabled.

Source
AWS Security Hub
Security Hub Control Id: Opensearch.5

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon Elastic MapReduce cluster master nodes should not have public IP addresses,"Description: Checks if master nodes on EMR clusters have public IP addresses.

Source
AWS Security Hub
Security Hub control ID: EMR.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
OpenSearch domain error logging to CloudWatch Logs should be enabled,"Description: Checks if Amazon OpenSearch domains are configured to send error logs to CloudWatch Logs. This check fails if error logging to CloudWatch is not enabled for a domain.

Source
AWS Security Hub
Security Hub Control Id: Opensearch.4

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS Lambda Functions without Concurrency Limit configured,"Description: Checks if AWS Lambda function is configured with function-level concurrent execution limit.

Concurrency is the number of in-flight requests your AWS Lambda function is handling at the same time. For each concurrent request, Lambda provisions a separate instance of your execution environment.
You can specify the minimum and maximum reserved concurrency limit, using the ""ConcurrencyLimitLow"" and ""ConcurrencyLimitHigh"" parameters in your AWS Config rules.

For more information, see Lambda function scaling.

Source
AWS Config Managed Rule: lambda-concurrency-check

Alert Criteria
Yellow: AWS Lambda Functions has no concurrency limit configured.

Recommended Action
Consider AWS Lambda Function have concurrency configured. Enabling a concurrency limit for your AWS Lambda functions helps to ensure that your function processes requests reliably and predictably. A concurrency limit reduces the risk of your function being overwhelmed due to a sudden surge in traffic.

For more information, see Configuring reserved concurrency.

Additional Resources
Lambda function scaling
Configuring reserved concurrency"
Connections to Amazon Redshift clusters should be encrypted in transit,"Description: Checks if connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.

Source
AWS Security Hub
Security Hub control ID: Redshift.2

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
OpenSearch domains should encrypt data sent between nodes,"Description: Checks if Amazon OpenSearch domains have node-to-node encryption enabled. This check fails if node-to-node encryption is disabled on the domain.

Source
AWS Security Hub
Security Hub Control Id: Opensearch.3

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon EC2 Reserved Instances Optimization,"Description: A significant part of using AWS involves balancing your Reserved Instance (RI) usage and your On-Demand instance usage. We provide recommendations on which RIs will help reduce costs incurred from using On-Demand instances.
AWS generates these recommendations by analyzing your On-Demand usage for the past 30 days, and then categorizing the usage into eligible categories for reservations. We then simulate every combination of reservations in the generated category of usage in order to identify the best number of each type of RI to purchase to maximize your savings. This check covers recommendations based on Standard Reserved Instances with partial upfront payment option. This check is not available to accounts linked in Consolidated Billing. Recommendations are only available for the Paying Account.

Alert Criteria
Yellow: Optimizing the use of partial upfront RIs can help reduce costs.

Recommended Action
See the Cost Explorer page for more detailed and customized recommendations. Additionally, refer to the buying guide to understand how to purchase RIs and the options available.

Additional Resources
Information on RIs and how they can save you money can be found here.
For more information on this recommendation, see Reserved Instance Optimization Check Questions in the Trusted Advisor FAQs."
Amazon Redshift clusters should prohibit public access,"Description: Checks if Amazon Redshift clusters are publicly accessible. It evaluates the publiclyAccessible field in the cluster configuration item.

Source
AWS Security Hub
Security Hub control ID: Redshift.1

Alert Criteria
Red: Critical or High. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
OpenSearch domains should be in a VPC,"Description: Checks Amazon OpenSearch Service domains are in an Amazon Virtual Private Cloud (VPC).

Source
AWS Security Hub
Security Hub Control Id: Opensearch.2

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Redshift clusters should use enhanced VPC routing,"Description: Checks if a Redshift cluster has EnhancedVpcRouting enabled.

Source
AWS Security Hub
Security Hub control ID: Redshift.7

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
OpenSearch domains should have encryption at rest enabled,"Description: Checks if Amazon OpenSearch domains have encryption-at-rest configuration enabled. The check fails if encryption at rest is not enabled.

Source
AWS Security Hub
Security Hub Control Id: Opensearch.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon EC2 instances launched using Auto Scaling group launch configurations should not have Public IP addresses,"Description: Checks if Amazon EC2 Auto Scaling groups have public IP addresses enabled using launch configurations.

Source
AWS Security Hub
Security Hub Control Id: Autoscaling.5

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon Redshift should have automatic upgrades to major versions enabled,"Description: Checks if an Amazon Redshift cluster is configured with automatic upgrades to major versions.

Source
AWS Security Hub
Security Hub control ID: Redshift.6

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CloudFront distributions should use custom SSL/TLS certificates,"Description: Checks if CloudFront distributions are using the default SSL/TLS certificate CloudFront provides instead of a custom one. This check fails for a CloudFront distribution if it uses the default SSL/TLS certificate.

Source
AWS Security Hub
Security Hub Control Id: CloudFront.7

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon Redshift clusters should have audit logging enabled,"Description: Checks if an Amazon Redshift cluster has audit logging enabled.

Source
AWS Security Hub
Security Hub control ID: Redshift.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CloudFront distributions should use SNI to serve HTTPS requests,"Description: Checks if Amazon CloudFront distributions are using a custom SSL/TLS certificate and are configured to use SNI to serve HTTPS requests as opposed to dedicated IP address.

Source
AWS Security Hub
Security Hub Control Id: CloudFront.8

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CloudFront distributions should require encryption in transit,"Description: Checks if an Amazon CloudFront distribution requires viewers to use HTTPS directly, or if it uses redirection. The check fails if ViewerProtocolPolicy is set to allow-all for defaultCacheBehavior or for cacheBehaviors.

Source
AWS Security Hub
Security Hub control ID: CloudFront.3

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS CloudTrail data events logging for objects in an S3 bucket,"Description: Checks if at least one AWS CloudTrail trail logs Amazon S3 data events for all of your S3 buckets.
You can adjust the the name of the Amazon S3 bucket for storing server access logs, using the ""S3BucketName"" parameter in your AWS Config rules.

For more information, see  Logging Amazon S3 API calls using AWS CloudTrail.

Source
AWS Config Managed Rule: cloudtrail-s3-dataevents-enabled

Alert Criteria
Yellow: AWS CloudTrail event logging for S3 buckets is not configured

Recommended Action
Enable CloudTrail event logging for S3 buckets and objects to track requests for target bucket access.

For more information, see Enabling CloudTrail event logging for S3 buckets and objects.
"
Application Load Balancers and Classic Load Balancers Without Access Logs Enabled,"Description: Checks if Application Load Balancers and Classic Load Balancers have access logging enabled.

Elastic Load Balancing (ELB) provides access logs that capture detailed information about requests sent to your load balancer. Each log contains information such as the time the request was received, the client's IP address, latencies, request paths, and server responses. You can use these access logs to analyze traffic patterns and troubleshoot issues.

Access logs are an optional feature of Elastic Load Balancing that is disabled by default. After you enable access logs for your load balancer, Elastic Load Balancing captures the logs and stores them in the Amazon S3 bucket that you specify.
You can adjust the the name of the Amazon S3 bucket for storing server access logs, using the ""S3BucketName"" parameter in your AWS Config rules.

For more information about ELB access logs, refer to the Application Load Balancer and Classic Load Balancer documentation.

Source
AWS Config Managed Rule: elb-logging-enabled

Alert Criteria
Yellow: Access Logs feature not enabled for an Application or Classic Load Balancer

Recommended Action
Consider enabling access logs for your Application Load Balancers and Classic Load Balancers.

To enable access logs, refer to the Application Load Balancer and Classic Load Balancer documentation.

Additional Resources
Enabling access logs for your Application Load Balancer
Enabling access logs for your Classic Load Balancer"
CloudTrail trails are not configured with Amazon CloudWatch Logs,"Description: Checks if AWS CloudTrail trails are configured to send logs to Amazon CloudWatch logs.

Monitor CloudTrail Log fiiles with Amazon CloudWatch Logs to trigger an automated response when critical events are captured in Amazon CloudTrail.

You can adjust the maximum age (hours) of the most recent delivery to Amazon CloudWatch log, using the ""expectedDeliveryWindowAge"" parameter in your AWS Config rules.

For more information, see Monitoring CloudTrail Log Files with Amazon CloudWatch Logs.

Source
AWS Config Managed Rule: cloud-trail-cloud-watch-logs-enabled

Alert Criteria
Yellow: AWS CloudTrail is not set up with CloudWatch Logs Integration.

Recommended Action
Configure AWS CloudTrail trail to send log events to Amazon CloudWatch Logs. CloudWatch Logs.

For more information, see Creating CloudWatch alarms for CloudTrail events: examples."
Amazon S3 does not have Event Notifications enabled,"Description: Checks if Amazon S3 Event Notifications is enabled or is correctly configured with the desired destination or types.

The Amazon S3 Event Notifications feature sends notifications when certain events happen in your S3 buckets. Amazon S3 can send notification messages to Amazon Simple Queue Service (Amazon SQS) queues, Amazon Simple Notification Service (Amazon SNS) topics, and AWS Lambda function.
You can specify your desired destination and event types using the ""destinationArn"" and ""eventTypes"" parameters of your AWS Config rules.

For more information, see Amazon S3 Event Notifications.

Source
AWS Config Managed Rule: s3-event-notifications-enabled

Alert Criteria
Yellow: Amazon S3 does not have Event Notifications enabled, or not configured with the desired desitnation or types.

Recommended Action
Configure Amazon S3 Event Notfiications for object and bucket events. For more information, see Enabling and configuring event notifications using the Amazon S3 console.

Additional Resources
Enable Amazon S3 Event Notifications"
Stopped EC2 instances should be removed after a specified time period,"Description: Checks if any EC2 instances have been stopped for more than the allowed number of days. An EC2 instance fails this check if it is stopped for longer than the maximum allowed time period, which by default is 30 days.

Source
AWS Security Hub
Security Hub control ID: EC2.4

Alert Criteria
Yellow: Medium or Low. Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Secrets should not be passed as container environment variable,"Description: Checks if the container environment variables includes the following keys - AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY,  or ECS_ENGINE_AUTH_DATA.

Source
AWS Security Hub
Security Hub Control Id: ECS.8

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
